"","loadings"
"MKL2",-0.00308967936855618
"CD109",0.00298817457058861
"ABTB1",0.00186862909021903
"MAST2",0.00268393627873989
"KAT5",0.000983777091357134
"WWC2",0.00417499083352149
"CD163",-4.1241668826565e-16
"MYL2",7.6243877887494e-18
"UBE2Z",0.0183552828518678
"RGPD4",-0.00507778670194271
"PHYHIPL",-1.19236067855497e-16
"OR9A4",-1.01173144412003e-16
"ELF2",0.00264165017006759
"RAB14",-0.000639329161748542
"CDH1",-0.0189823075225807
"IZUMO1",-2.81955034252417e-16
"LOC286238",-5.19872052338091e-17
"TMIE",-8.32688186544825e-17
"PRDX2",0.00554840178757485
"APOA2",-2.21337362288122e-17
"AQP4",3.93456426131685e-16
"PSMC6",0.0101303333342821
"SLC2A8",0.000789532169542391
"MKNK1",-0.00586460694783956
"GAGE12D",8.47627643162845e-18
"C12orf4",0.00225396217547988
"CPLX1",1.48939826066544e-16
"SUV39H1",-0.00247089746789422
"USF1",0.00842917641456971
"R3HDM2",-0.00348258324810855
"USP29",-0.0057596013746059
"TMPPE",0.00657394606296592
"HIST1H2BC",0.00546364132953017
"TTLL2",-0.00284692199325917
"GBP5",-0.0117042131422547
"ALG5",0.00512321956708923
"OR4C45",2.67733885959561e-17
"DBNDD1",0.00441762937592868
"RBP1",-0.0152802088507596
"ITGA5",0.0133981456668055
"SNX5",0.00316860737891165
"ANKRD16",-0.0016229004041734
"OR52B4",2.32963229685067e-16
"GTSE1",-0.0018361173439372
"KCNIP2",0.00141424890244053
"STX2",0.018960490909136
"NKX2-5",-7.98700913377807e-17
"TRIM23",-0.00479586261182589
"RSPH9",0.00104620022747335
"CAMK2N1",0.0221951940631823
"MT-ND4",0.0241899804695767
"HIST1H4F",0.00135968872611993
"CLCC1",0.00823951886756309
"CNFN",-0.00120070313330598
"ZMYND8",0.0139682410920336
"OR6B3",0
"MAP1A",0.006333448982105
"CPXM1",-0.00593498379160514
"XPA",0.00218096533988012
"RAB3IP",-0.0120871583873234
"NDUFAF2",0.0081437123487962
"SRCAP",0.0118684796874697
"TAT",-0.0119806677514833
"DEFB129",0
"OTOP1",-0.00133508784841355
"TNNT2",0
"H2AFJ",0.00624558830355782
"RRAS2",0.00384808671883646
"CCL13",0
"PF4V1",0
"GSDMD",-0.00214090017927052
"TMEM55A",0.000262884248717127
"DUSP12",0.00392364705573625
