GeneName  Indicator
MKL2 0
CD109 1
ABTB1 1
MAST2 1
KAT5 1
WWC2 1
CD163 0
MYL2 0
UBE2Z 1
RGPD4 0
PHYHIPL 0
OR9A4 0
ELF2 1
RAB14 0
CDH1 0
IZUMO1 0
LOC286238 0
TMIE 0
PRDX2 1
APOA2 0
AQP4 0
PSMC6 1
SLC2A8 1
MKNK1 0
GAGE12D 0
C12orf4 1
CPLX1 0
SUV39H1 0
USF1 1
R3HDM2 0
USP29 0
TMPPE 1
HIST1H2BC 1
TTLL2 0
GBP5 0
ALG5 1
OR4C45 0
DBNDD1 1
RBP1 0
ITGA5 1
SNX5 1
ANKRD16 0
OR52B4 0
GTSE1 0
KCNIP2 1
STX2 1
NKX2-5 0
TRIM23 0
RSPH9 1
CAMK2N1 1
MT-ND4 1
HIST1H4F 1
CLCC1 1
CNFN 0
ZMYND8 1
OR6B3 0
MAP1A 1
CPXM1 0
XPA 1
RAB3IP 0
NDUFAF2 1
SRCAP 1
TAT 0
DEFB129 0
OTOP1 0
TNNT2 0
H2AFJ 1
RRAS2 1
CCL13 0
PF4V1 0
GSDMD 0
TMEM55A 0
DUSP12 1
EFHB 0
DCTPP1 0
FBXL17 0
ETV1 1
NDUFV2 1
SIRPD 0
TRPC1 0
CLSPN 0
PSMD14 1
DDI2 0
IAH1 1
WNT5A 1
ADH1C 0
GPR84 0
TNC 1
SEZ6L 0
CYP4Z1 0
ARFIP2 1
INSL4 0
DTX3L 0
PIP5K1A 1
LITAF 1
MMEL1 0
OR2F2 0
FBXO41 1
HTR1D 0
ASB10 0
HBP1 0
VAMP2 0
ZNF687 1
MEX3C 1
PCDH11X 0
SOCS6 1
OSGEPL1 1
ITGB4 0
HERC3 0
CROT 1
ANKRD36B 1
ARHGAP31 0
CCDC121 1
PANX3 0
HSPA9 1
CASP3 1
XYLT2 1
WWTR1 1
GGT5 1
PRAMEF10 0
THRSP 0
ERCC3 0
TLL2 0
RAVER2 0
PGAP2 1
TXNDC11 1
SUOX 1
DNM2 0
GNB2 1
KLK6 0
CENPJ 0
CLSTN2 0
SMCP 0
MTRNR2L6 1
TRIM44 1
NCOA3 0
GPC3 1
NAGK 0
OR2T3 0
CCDC105 0
SLC12A5 0
ITGAD 0
CD200R1 0
IGFN1 0
HRNR 0
H2AFB1 0
MED6 0
ORC6 1
FAM131B 0
PRELP 1
TRAPPC12 1
SLC25A38 0
WHSC1L1 1
PLAGL2 1
MYD88 1
HLX 1
HSH2D 1
PPIAL4A 0
IL1RAPL1 0
SLC38A4 1
ZNF281 1
DCP2 1
LSM11 0
ERRFI1 1
PRH2 0
AGTRAP 0
SPRR1B 0
C3orf71 0
PHF13 0
PITPNC1 1
KRT10 1
CXorf26 1
LOC149373 0
FABP5 1
MMP23B 0
DLX2 1
FGD1 0
APBB1 1
LEAP2 0
GLO1 1
RGS14 1
GABRB3 0
LAMP2 1
NCL 1
RCSD1 0
TTC28 1
HNRNPH3 1
RUSC2 1
POLR3GL 1
RAF1 1
UBXN4 1
OVOL1 0
SYS1 1
FAM108C1 1
GPC6 0
RUFY3 0
SPTSSB 0
WIPF3 0
ANG 0
ARHGAP24 0
NFE2L3 0
C9orf91 0
DEGS1 1
MEN1 0
HTR3D 0
COIL 1
TMEM116 0
TAAR1 0
ZNF3 1
HCRT 1
C20orf173 0
ICAM2 0
CXCR6 0
GJD4 0
SLC26A10 0
FBXW10 0
SLC36A1 1
HSD17B2 1
PCDHB9 0
HIST1H2BF 0
STOX1 0
C14orf129 0
DSG3 1
SPERT 0
KDELR1 1
PCDHB6 0
KPNA2 1
ZNF705D 0
AEBP2 1
PTTG2 0
RAB32 1
ITGA2B 0
CDHR4 0
ARID5B 1
RFC2 0
ZFP1 1
SLC5A9 0
PKP3 0
IRS2 1
ATP12A 0
MUL1 1
ODF3L1 0
CPA6 0
JAM2 1
GAGE4 0
